nama_barang,tanggal_data_terakhir,stok_saat_ini,barang_dalam_pemesanan,projected_inventory,rata_penjualan_harian,safety_stock,reorder_point,target_stock,klasifikasi_model,probabilitas_perlu_pesan,threshold_model,trigger_inventory,rekomendasi_final,jumlah_stok_harus_dipesan,accuracy_model_test,balanced_accuracy_test,precision_perlu_pesan_test,recall_perlu_pesan_test,f1_perlu_pesan_test,pr_auc_test
Rinso Cair,2025-08-31,11.0,0.0,7.7,3.3,8,18,41,Perlu Pesan,0.999777,0.99,Ya,Perlu Pesan,34,0.9658925979680697,0.8453664466434146,0.5852534562211982,0.7134831460674157,0.6430379746835443,0.6223228194501212
So Klin Bubuk,2025-08-31,13.0,0.0,10.07,2.9333,8,17,37,Perlu Pesan,0.999702,0.99,Ya,Perlu Pesan,27,0.9658925979680697,0.8453664466434146,0.5852534562211982,0.7134831460674157,0.6430379746835443,0.6223228194501212
Molto Blue,2025-08-31,13.0,0.0,10.13,2.8667,8,17,37,Perlu Pesan,0.999519,0.99,Ya,Perlu Pesan,27,0.9658925979680697,0.8453664466434146,0.5852534562211982,0.7134831460674157,0.6430379746835443,0.6223228194501212
Pensil 2B,2025-08-31,11.0,0.0,7.97,3.0333,8,17,39,Perlu Pesan,0.999411,0.99,Ya,Perlu Pesan,32,0.9658925979680697,0.8453664466434146,0.5852534562211982,0.7134831460674157,0.6430379746835443,0.6223228194501212
Daia Putih,2025-08-31,12.0,0.0,9.53,2.4667,8,15,33,Perlu Pesan,0.9993,0.99,Ya,Perlu Pesan,24,0.9658925979680697,0.8453664466434146,0.5852534562211982,0.7134831460674157,0.6430379746835443,0.6223228194501212
Pepsodent White,2025-08-31,17.0,0.0,14.43,2.5667,8,15,33,Tidak,0.758794,0.99,Ya,Perlu Pesan,19,0.9658925979680697,0.8453664466434146,0.5852534562211982,0.7134831460674157,0.6430379746835443,0.6223228194501212
Formula Strong,2025-08-31,11.0,0.0,9.37,1.6333,7,12,23,Tidak,0.474296,0.99,Ya,Perlu Pesan,14,0.9658925979680697,0.8453664466434146,0.5852534562211982,0.7134831460674157,0.6430379746835443,0.6223228194501212
Vape Cair,2025-08-31,23.0,0.0,19.9,3.1,7,16,38,Tidak,0.790847,0.99,Tidak,Tidak,0,0.9658925979680697,0.8453664466434146,0.5852534562211982,0.7134831460674157,0.6430379746835443,0.6223228194501212
Head & Shoulders,2025-08-31,17.0,0.0,14.97,2.0333,7,13,27,Tidak,0.403924,0.99,Tidak,Tidak,0,0.9658925979680697,0.8453664466434146,0.5852534562211982,0.7134831460674157,0.6430379746835443,0.6223228194501212
Tissue Nice,2025-08-31,26.0,0.0,23.13,2.8667,9,17,37,Tidak,0.344117,0.99,Tidak,Tidak,0,0.9658925979680697,0.8453664466434146,0.5852534562211982,0.7134831460674157,0.6430379746835443,0.6223228194501212
Pulpen Standard,2025-08-31,20.0,0.0,18.17,1.8333,7,13,25,Tidak,0.047008,0.99,Tidak,Tidak,0,0.9658925979680697,0.8453664466434146,0.5852534562211982,0.7134831460674157,0.6430379746835443,0.6223228194501212
Pantene Hair Fall,2025-08-31,28.0,0.0,25.03,2.9667,8,17,38,Tidak,0.027831,0.99,Tidak,Tidak,0,0.9658925979680697,0.8453664466434146,0.5852534562211982,0.7134831460674157,0.6430379746835443,0.6223228194501212
Hit Spray,2025-08-31,31.0,0.0,27.87,3.1333,9,18,40,Tidak,0.006225,0.99,Tidak,Tidak,0,0.9658925979680697,0.8453664466434146,0.5852534562211982,0.7134831460674157,0.6430379746835443,0.6223228194501212
Sunsilk Hitam,2025-08-31,26.0,0.0,23.8,2.2,7,14,29,Tidak,0.000507,0.99,Tidak,Tidak,0,0.9658925979680697,0.8453664466434146,0.5852534562211982,0.7134831460674157,0.6430379746835443,0.6223228194501212
Clear Cool Sport,2025-08-31,30.0,0.0,27.67,2.3333,8,15,31,Tidak,0.000313,0.99,Tidak,Tidak,0,0.9658925979680697,0.8453664466434146,0.5852534562211982,0.7134831460674157,0.6430379746835443,0.6223228194501212
Baygon Spray,2025-08-31,32.0,0.0,29.53,2.4667,8,15,33,Tidak,0.000171,0.99,Tidak,Tidak,0,0.9658925979680697,0.8453664466434146,0.5852534562211982,0.7134831460674157,0.6430379746835443,0.6223228194501212
ABC Susu,2025-08-31,53.0,0.0,50.9,2.1,3,9,24,Tidak,0.0,0.99,Tidak,Tidak,0,0.9658925979680697,0.8453664466434146,0.5852534562211982,0.7134831460674157,0.6430379746835443,0.6223228194501212
